display_term,term,normalized_term,canonical_term,matched_surface_terms,search_terms,source,reason,added_by,wiki_category,wiki_url,wikidata_id,match_type,document_frequency,total_frequency,confidence_score
bart,bart,bart,BART,bart,bart,wiki,matched official Wiki dictionary after technical filtering,,language model,,Q108212505,exact,5,115,0.82
rlhf,rlhf,rlhf,reinforcement learning from human feedback,rlhf,reinforcement learning from human feedback; rlhf,wiki,matched official Wiki dictionary after technical filtering,,reinforcement learning,https://en.wikipedia.org/wiki/Reinforcement_learning_from_human_feedback,Q115570683,alias,5,107,0.92
instructgpt,instructgpt,instructgpt,InstructGPT,instructgpt,instructgpt,wiki,matched official Wiki dictionary after technical filtering,,language model,,Q117449859,exact,5,86,0.82
vision transformer,vision transformer,vision transformer,vision transformer,vision transformer,vision transformer,wiki,matched official Wiki dictionary after technical filtering,,transformer machine learning model,https://en.wikipedia.org/wiki/Vision_transformer,Q107675654,exact,5,25,0.92
semantic role labeling,semantic role labeling,semantic role labeling,semantic role labeling,semantic role labeling; srl,semantic role labeling; srl,wiki,matched official Wiki dictionary after technical filtering,,natural language processing,https://en.wikipedia.org/wiki/Semantic_role_labeling,Q7449085,alias; exact,5,23,0.92
prompt engineering,prompt engineering,prompt engineering,prompt engineering,prompt engineering,prompt engineering,wiki,matched official Wiki dictionary after technical filtering,,generative artificial intelligence,https://en.wikipedia.org/wiki/Prompt_engineering,Q108941486,exact,5,18,0.72
zero-shot learning,zero-shot learning,zero-shot learning,zero-shot learning,zero-shot learning,zero-shot learning,wiki,matched official Wiki dictionary after technical filtering,,machine learning,https://en.wikipedia.org/wiki/Zero-shot_learning,Q96416030,variant,5,13,0.92
feature engineering,feature engineering,feature engineering,feature engineering,feature creation; feature engineering,feature creation; feature engineering,wiki,matched official Wiki dictionary after technical filtering,,machine learning,https://en.wikipedia.org/wiki/Feature_engineering,Q22245680,alias; exact,5,8,0.76
pose estimation,pose estimation,pose estimation,pose estimation,pose estimation,pose estimation,wiki,matched official Wiki dictionary after technical filtering,,machine learning,,Q133567829,exact,5,8,0.76
reflection,reflection,reflection,reasoning language model,reasoning models; reflection,reasoning language model; reasoning models; reflection,wiki,matched official Wiki dictionary after technical filtering,,large language model,https://en.wikipedia.org/wiki/Reasoning_model,Q131936230,alias; alias_variant,5,7,0.92
search algorithm,search algorithm,search algorithm,search algorithm,search algorithm; search algorithms,search algorithm; search algorithms,wiki,matched official Wiki dictionary after technical filtering,,information retrieval,https://en.wikipedia.org/wiki/Search_algorithm,Q755673,exact; variant,5,7,0.92
linear regression,linear regression,linear regression,linear regression,linear regression,linear regression,wiki,matched official Wiki dictionary after technical filtering,,machine learning,https://en.wikipedia.org/wiki/Linear_regression,Q10861030,exact,5,5,0.92
text-to-speech,text-to-speech,text-to-speech,speech synthesis,speech synthesis; text-to-speech; tts,speech synthesis; text-to-speech; tts,wiki,matched official Wiki dictionary after technical filtering,,natural language processing,https://en.wikipedia.org/wiki/Speech_synthesis,Q16346,alias; alias_variant; exact,4,49,0.76
statistical machine translation,statistical machine translation,statistical machine translation,statistical machine translation,smt; statistical machine translation,smt; statistical machine translation,wiki,matched official Wiki dictionary after technical filtering,,machine translation,https://en.wikipedia.org/wiki/Statistical_machine_translation,Q3245113,alias; exact,4,26,0.92
image-to-image translation,image-to-image translation,image-to-image translation,image-to-image translation,image-to-image translation,image-to-image translation,wiki,matched official Wiki dictionary after technical filtering,,machine learning,,Q45318647,variant,4,21,0.92
siamese network,siamese network,siamese network,Siamese neural network,siamese network; siamese networks,siamese network; siamese networks; siamese neural network,wiki,matched official Wiki dictionary after technical filtering,,artificial neural network,https://en.wikipedia.org/wiki/Siamese_neural_network,Q16831193,alias; alias_variant,4,9,0.82
graph embeddings,graph embeddings,graph embeddings,graph embedding,graph embeddings,graph embedding; graph embeddings,wiki,matched official Wiki dictionary after technical filtering,,natural language processing,,Q32081746,alias,4,9,0.72
cart,cart,cart,classification and regression tree,cart,cart; classification and regression tree,wiki,matched official Wiki dictionary after technical filtering,,machine learning,https://en.wikipedia.org/wiki/Classification_and_regression_tree,Q1022850,alias,4,6,0.76
structured prediction,structured prediction,structured prediction,structured prediction,structured prediction,structured prediction,wiki,matched official Wiki dictionary after technical filtering,,machine learning,https://en.wikipedia.org/wiki/Structured_prediction,Q7625208,exact,4,5,0.92
allennlp,allennlp,allennlp,AllenNLP,allennlp,allennlp,wiki,matched official Wiki dictionary after technical filtering,,deep learning,,Q45364276,exact,4,5,0.72
proximity,proximity,proximity,Proximity,proximity,proximity,wiki,matched official Wiki dictionary after technical filtering,,information retrieval,https://en.wikipedia.org/wiki/Proximity,Q1420641,exact,4,5,0.7
mann,mann,mann,memory-augmented neural network,mann,mann; memory-augmented neural network,wiki,matched official Wiki dictionary after technical filtering,,artificial neural network,,Q39017646,alias,4,4,0.92
semantic analysis,semantic analysis,semantic analysis,Semantic analysis,semantic analysis,semantic analysis,wiki,matched official Wiki dictionary after technical filtering,,natural language processing,https://en.wikipedia.org/wiki/Semantic_analysis_%28computational%29,Q7449042,exact,4,4,0.92
GPT-4,GPT-4,gpt-4,GPT-4,gpt-4; gpt4,gpt-4; gpt4,wiki,matched official Wiki dictionary after technical filtering,,large language model,https://en.wikipedia.org/wiki/GPT-4,Q116709136,alias; variant,3,367,0.82
rag,rag,rag,retrieval-augmented generation,rag; retrieval-augmented generation,rag; retrieval-augmented generation,wiki,matched official Wiki dictionary after technical filtering,,information retrieval,https://en.wikipedia.org/wiki/Retrieval-augmented_generation,Q121362277,alias; variant,3,71,0.92
wavenet,wavenet,wavenet,Google Wavenet,wavenet,google wavenet; wavenet,wiki,matched official Wiki dictionary after technical filtering,,generative model,https://en.wikipedia.org/wiki/WaveNet,Q30315025,alias,3,71,0.82
gpt-j,gpt-j,gpt-j,GPT-J,gpt-j; gpt-j 6b; gpt-j-6b,gpt-j; gpt-j 6b; gpt-j-6b,wiki,matched official Wiki dictionary after technical filtering,,large language model,https://en.wikipedia.org/wiki/GPT-J,Q116937684,alias_variant; variant,3,53,0.82
xgboost,xgboost,xgboost,XGBoost,xgboost,xgboost,wiki,matched official Wiki dictionary after technical filtering,,machine learning,https://en.wikipedia.org/wiki/XGBoost,Q23793561,exact,3,51,0.72
chatgpt,chatgpt,chatgpt,ChatGPT,chatgpt,chatgpt,wiki,matched official Wiki dictionary after technical filtering,,large language model,https://en.wikipedia.org/wiki/ChatGPT,Q115564437,exact,3,47,0.82
gat,gat,gat,graph attention network,gat; graph attention network; graph attention networks,gat; graph attention network; graph attention networks,wiki,matched official Wiki dictionary after technical filtering,,artificial neural network,,Q111725450,alias; exact; variant,3,40,0.92
meteor,meteor,meteor,METEOR,meteor,meteor,wiki,matched official Wiki dictionary after technical filtering,,machine translation,https://en.wikipedia.org/wiki/METEOR,Q6715476,exact,3,17,0.72
word segmentation,word segmentation,word segmentation,word segmentation,word segmentation,word segmentation,wiki,matched official Wiki dictionary after technical filtering,,natural language processing,https://en.wikipedia.org/wiki/Word_segmentation,Q25394236,exact,3,9,0.76
text analysis,text analysis,text analysis,text mining,text analysis; text mining,text analysis; text mining,wiki,matched official Wiki dictionary after technical filtering,,natural language processing,https://en.wikipedia.org/wiki/Text_mining,Q676880,alias; exact,3,7,0.92
model-free reinforcement learning,model-free reinforcement learning,model-free reinforcement learning,model-free reinforcement learning,model-free reinforcement learning,model-free reinforcement learning,wiki,matched official Wiki dictionary after technical filtering,,reinforcement learning,https://en.wikipedia.org/wiki/Model-free_%28reinforcement_learning%29,Q63788448,variant,3,4,0.92
text simplification,text simplification,text simplification,text simplification,text simplification,text simplification,wiki,matched official Wiki dictionary after technical filtering,,natural language processing,https://en.wikipedia.org/wiki/Text_simplification,Q3484781,exact,3,4,0.92
kernel methods,kernel methods,kernel methods,kernel method,kernel methods; kernel trick,kernel method; kernel methods; kernel trick,wiki,matched official Wiki dictionary after technical filtering,,machine learning,https://en.wikipedia.org/wiki/Kernel_method,Q620622,alias,3,4,0.76
sacrebleu,sacrebleu,sacrebleu,SacreBLEU,sacrebleu,sacrebleu,wiki,matched official Wiki dictionary after technical filtering,,machine translation,,Q130650186,exact,3,4,0.72
neural network layer,neural network layer,neural network layer,neural network layer,neural network layer; neural networks layer,neural network layer; neural networks layer,wiki,matched official Wiki dictionary after technical filtering,,artificial neural network,,Q110509814,exact; variant,3,4,0.7
question classification,question classification,question classification,computer-based question classification,question classification,computer-based question classification; question classification,wiki,matched official Wiki dictionary after technical filtering,,natural language processing,,Q46346005,alias,3,3,0.92
relation extraction,relation extraction,relation extraction,relationship extraction,relation extraction,relation extraction; relationship extraction,wiki,matched official Wiki dictionary after technical filtering,,text mining,https://en.wikipedia.org/wiki/Relationship_extraction,Q7310755,alias,3,3,0.92
model compression,model compression,model compression,model compression,model compression,model compression,wiki,matched official Wiki dictionary after technical filtering,,machine learning,https://en.wikipedia.org/wiki/Model_compression,Q131164003,exact,3,3,0.76
ohem,ohem,ohem,Online Hard Example Mining,ohem,ohem; online hard example mining,wiki,matched official Wiki dictionary after technical filtering,,machine learning,,Q133567640,alias,2,26,0.76
code-davinci-002,code-davinci-002,code-davinci-002,GPT-3.5,code-davinci-002,code-davinci-002; gpt-3.5,wiki,matched official Wiki dictionary after technical filtering,,large language model,https://en.wikipedia.org/wiki/GPT-3.5,Q123013819,alias_variant,2,19,0.82
manifold learning,manifold learning,manifold learning,nonlinear dimensionality reduction,manifold learning,manifold learning; nonlinear dimensionality reduction,wiki,matched official Wiki dictionary after technical filtering,,machine learning,https://en.wikipedia.org/wiki/Nonlinear_dimensionality_reduction,Q7049464,alias,2,9,0.92
deberta,deberta,deberta,DeBERTa,deberta,deberta,wiki,matched official Wiki dictionary after technical filtering,,language model,,Q107031978,exact,2,9,0.82
open assistant,open assistant,open assistant,Open Assistant,open assistant; openassistant,open assistant; openassistant,wiki,matched official Wiki dictionary after technical filtering,,large language model,https://en.wikipedia.org/wiki/OpenAssistant,Q118176939,alias; exact,2,9,0.82
dialect,dialect,dialect,Dialect,dialect,dialect,wiki,matched official Wiki dictionary after technical filtering,,machine translation,,Q133285071,exact,2,9,0.72
line-search,line-search,line-search,line search,line search; line-search,line search; line-search,wiki,matched official Wiki dictionary after technical filtering,,optimization algorithm,https://en.wikipedia.org/wiki/Line_search,Q3278015,exact; variant,2,7,0.82
chrf,chrf,chrf,chrF,chrf,chrf,wiki,matched official Wiki dictionary after technical filtering,,machine translation,,Q130650256,exact,2,7,0.72
deep belief networks,deep belief networks,deep belief networks,deep belief network,dbn; deep belief network; deep belief networks,dbn; deep belief network; deep belief networks,wiki,matched official Wiki dictionary after technical filtering,,artificial neural network,https://en.wikipedia.org/wiki/Deep_belief_network,Q16954980,alias; exact; variant,2,6,0.92
lda,lda,lda,latent Dirichlet allocation,latent dirichlet allocation; lda,latent dirichlet allocation; lda,wiki,matched official Wiki dictionary after technical filtering,,generative model,https://en.wikipedia.org/wiki/Latent_Dirichlet_allocation,Q269236,alias; exact,2,6,0.92
prompt format,prompt format,prompt format,prompt format,prompt format,prompt format,wiki,matched official Wiki dictionary after technical filtering,,large language model,,Q131939460,exact,2,6,0.72
bard,bard,bard,Gemini,bard,bard; gemini,wiki,matched official Wiki dictionary after technical filtering,,large language model,https://en.wikipedia.org/wiki/Gemini_%28language_model%29,Q123688361,alias,2,5,0.92
lenet,lenet,lenet,LeNet-5,lenet; lenet 5; lenet-5,lenet; lenet 5; lenet-5,wiki,matched official Wiki dictionary after technical filtering,,artificial neural network,https://en.wikipedia.org/wiki/LeNet,Q94694243,alias; exact; variant,2,5,0.92
mrc,mrc,mrc,machine reading comprehension,machine reading comprehension; mrc,machine reading comprehension; mrc,wiki,matched official Wiki dictionary after technical filtering,,natural language processing,,Q124149560,alias; exact,2,5,0.92
pathways language model,pathways language model,pathways language model,Pathways Language Model,pathways language model; pathways language models,pathways language model; pathways language models,wiki,matched official Wiki dictionary after technical filtering,,language model,,Q112939824,exact; variant,2,5,0.82
information extraction,information extraction,information extraction,information extraction,information extraction,information extraction,wiki,matched official Wiki dictionary after technical filtering,,natural language processing,https://en.wikipedia.org/wiki/Information_extraction,Q1662562,exact,2,4,0.92
nearest neighbor classifier,nearest neighbor classifier,nearest neighbor classifier,nearest neighbor classifier,nearest neighbor classifier; nearest-neighbor classifier,nearest neighbor classifier; nearest-neighbor classifier,wiki,matched official Wiki dictionary after technical filtering,,classification algorithm,https://en.wikipedia.org/wiki/Nearest_neighbour_classifiers,Q6984421,exact; variant,2,4,0.92
recursive neural network,recursive neural network,recursive neural network,recursive neural network,recursive neural network; recursive neural networks,recursive neural network; recursive neural networks,wiki,matched official Wiki dictionary after technical filtering,,machine learning,https://en.wikipedia.org/wiki/Recursive_neural_network,Q18393747,exact; variant,2,4,0.82
claude,claude,claude,Claude,claude,claude,wiki,matched official Wiki dictionary after technical filtering,,large language model,https://en.wikipedia.org/wiki/Claude_%28language_model%29,Q118876059,exact,2,3,0.92
data mining,data mining,data mining,extracting structured information,data mining,data mining; extracting structured information,wiki,matched official Wiki dictionary after technical filtering,,data mining,,Q118499072,alias,2,3,0.92
dialogue systems,dialogue systems,dialogue systems,dialogue system,dialog systems; dialogue systems,dialog systems; dialogue system; dialogue systems,wiki,matched official Wiki dictionary after technical filtering,,natural language processing,https://en.wikipedia.org/wiki/Dialogue_system,Q5270587,alias_variant; variant,2,3,0.92
pattern recognition,pattern recognition,pattern recognition,pattern recognition,pattern recognition,pattern recognition,wiki,matched official Wiki dictionary after technical filtering,,machine learning,https://en.wikipedia.org/wiki/Pattern_recognition,Q378859,exact,2,3,0.92
relational learning,relational learning,relational learning,statistical relational learning,relational learning; statistical relational learning,relational learning; statistical relational learning,wiki,matched official Wiki dictionary after technical filtering,,machine learning,https://en.wikipedia.org/wiki/Statistical_relational_learning,Q7604413,alias; exact,2,3,0.92
syntactic parsing,syntactic parsing,syntactic parsing,syntactic parsing,syntactic parsing,syntactic parsing,wiki,matched official Wiki dictionary after technical filtering,,natural language processing,https://en.wikipedia.org/wiki/Syntactic_parsing_%28computational_linguistics%29,Q109294696,exact,2,3,0.92
nasnet,nasnet,nasnet,NASNet,nasnet,nasnet,wiki,matched official Wiki dictionary after technical filtering,,artificial neural network,,Q116058482,exact,2,3,0.82
text-to-text transfer transformer,text-to-text transfer transformer,text-to-text transfer transformer,T5,text-to-text transfer transformer,t5; text-to-text transfer transformer,wiki,matched official Wiki dictionary after technical filtering,,artificial neural network,,Q86993773,alias_variant,2,3,0.82
activity recognition,activity recognition,activity recognition,activity recognition,activity recognition,activity recognition,wiki,matched official Wiki dictionary after technical filtering,,artificial intelligence,https://en.wikipedia.org/wiki/Activity_recognition,Q4677630,exact,2,2,0.92
graph learning,graph learning,graph learning,graph learning,graph learning,graph learning,wiki,matched official Wiki dictionary after technical filtering,,machine learning,,Q120799625,exact,2,2,0.92
rlaif,rlaif,rlaif,reinforcement learning from AI feedback,rlaif,reinforcement learning from ai feedback; rlaif,wiki,matched official Wiki dictionary after technical filtering,,reinforcement learning,,Q135214674,alias,2,2,0.92
random feature,random feature,random feature,Random feature,random feature,random feature,wiki,matched official Wiki dictionary after technical filtering,,machine learning,https://en.wikipedia.org/wiki/Random_feature,Q131286268,exact,2,2,0.72
spacy,spacy,spacy,SpaCy,spacy,spacy,wiki,matched official Wiki dictionary after technical filtering,,natural language processing,https://en.wikipedia.org/wiki/SpaCy,Q28406945,exact,2,2,0.72
llama 1,llama 1,llama 1,Llama 1,llama 1; llama-1,llama 1; llama-1,wiki,matched official Wiki dictionary after technical filtering,,large language model,,Q120847097,exact; variant,1,20,0.82
