feature_name,section_original,section_mapped,term,canonical_term,display_term,term_type,ngram_len,pos_pattern,is_generic,role_prior,source_corpus,document_frequency,total_frequency,matched_surface_terms,search_terms,wiki_url,wikidata_id,notes
experiments__recurrent neural networks,experiments,experiment,recurrent neural networks,Recurrent neural network,recurrent neural networks,model,trigram,JJ JJ NN,false,core_method,both,5,8,recurrent neural networks; rnn,recurrent neural network; recurrent neural networks; rnn,https://en.wikipedia.org/wiki/Recurrent_neural_network,Q1457734,pos=fallback
experiments__machine translation,experiments,experiment,machine translation,machine translation,machine translation,task,bigram,NN NN,false,task,both,5,7,machine translation,machine translation,https://en.wikipedia.org/wiki/Machine_translation,Q79798,pos=fallback
experiments__text generation,experiments,experiment,text generation,natural language generation,text generation,task,bigram,NN NN,false,task,both,5,7,natural language generation; nlg; text generation,natural language generation; nlg; text generation,https://en.wikipedia.org/wiki/Natural_language_generation,Q1513879,pos=fallback
experiments__aggregation,experiments,experiment,aggregation,aggregation,aggregation,other,unigram,NN,false,other,both,5,5,aggregation,aggregation,https://en.wikipedia.org/wiki/Aggregation_%28linguistics%29,Q4692263,pos=fallback
experiments__PaLM,experiments,experiment,PaLM,PaLM,PaLM,model,unigram,NN,false,core_method,initial_corpus,4,61,palm,palm,https://en.wikipedia.org/wiki/PaLM,Q117232125,pos=fallback
experiments__svm,experiments,experiment,svm,support vector machine,svm,other,unigram,NN,false,other,initial_corpus,4,20,support vector machines; svm; svms,support vector machine; support vector machines; svm; svms,https://en.wikipedia.org/wiki/Support_vector_machine,Q282453,pos=fallback
experiments__distillation,experiments,experiment,distillation,knowledge distillation,distillation,method,unigram,NN,false,core_method,both,4,12,distillation; knowledge distillation,distillation; knowledge distillation,https://en.wikipedia.org/wiki/Knowledge_distillation,Q74253442,pos=fallback
experiments__feature learning,experiments,experiment,feature learning,feature learning,feature learning,other,bigram,NN NN,false,other,both,4,9,feature learning; representation learning,feature learning; representation learning,https://en.wikipedia.org/wiki/Feature_learning,Q17013334,pos=fallback
experiments__perplexity,experiments,experiment,perplexity,Perplexity,perplexity,metric,unigram,NN,false,metric,both,4,9,perplexity,perplexity,nan,Q123403392,pos=fallback
experiments__rlhf,experiments,experiment,rlhf,reinforcement learning from human feedback,rlhf,other,unigram,NN,false,other,initial_corpus,4,8,rlhf,reinforcement learning from human feedback; rlhf,https://en.wikipedia.org/wiki/Reinforcement_learning_from_human_feedback,Q115570683,pos=fallback
experiments__textual entailment,experiments,experiment,textual entailment,textual entailment,textual entailment,task,bigram,JJ NN,false,task,both,4,8,natural language inference; textual entailment,natural language inference; textual entailment,https://en.wikipedia.org/wiki/Textual_entailment,Q6588467,pos=fallback
experiments__autoencoder,experiments,experiment,autoencoder,autoencoder,autoencoder,method,unigram,NN,false,core_method,both,4,5,autoencoder; autoencoders,autoencoder; autoencoders,https://en.wikipedia.org/wiki/Autoencoder,Q786435,pos=fallback
experiments__supervised learning,experiments,experiment,supervised learning,supervised learning,supervised learning,method,bigram,JJ NN,false,core_method,both,4,5,supervised learning,supervised learning,https://en.wikipedia.org/wiki/Supervised_learning,Q334384,pos=fallback
experiments__word embeddings,experiments,experiment,word embeddings,word embedding,word embeddings,component,bigram,NN NN,false,core_method,both,4,5,word embeddings; word vector,word embedding; word embeddings; word vector,https://en.wikipedia.org/wiki/Word_embedding,Q18395344,pos=fallback
experiments__deep reinforcement learning,experiments,experiment,deep reinforcement learning,deep reinforcement learning,deep reinforcement learning,other,trigram,JJ NN NN,false,other,both,4,4,deep reinforcement learning,deep reinforcement learning,https://en.wikipedia.org/wiki/Deep_reinforcement_learning,Q65079156,pos=fallback
experiments__l-bfgs,experiments,experiment,l-bfgs,Limited-memory BFGS,l-bfgs,other,unigram,NN,false,other,initial_corpus,4,4,l-bfgs,l-bfgs; limited-memory bfgs,https://en.wikipedia.org/wiki/Limited-memory_BFGS,Q6549489,pos=fallback
experiments__masked language modeling,experiments,experiment,masked language modeling,masked language model,masked language modeling,model,trigram,JJ NN NN,false,core_method,both,4,4,masked language model; masked language modeling,masked language model; masked language modeling,nan,Q24868018,pos=fallback
experiments__stemming,experiments,experiment,stemming,stemming,stemming,other,unigram,NN,false,other,both,4,4,stemming,stemming,https://en.wikipedia.org/wiki/Stemming,Q1416732,pos=fallback
experiments__GPT-4,experiments,experiment,GPT-4,GPT-4,GPT-4,model,unigram,CD,false,core_method,initial_corpus,3,28,gpt-4; gpt4,gpt-4; gpt4,https://en.wikipedia.org/wiki/GPT-4,Q116709136,pos=fallback
experiments__gnn,experiments,experiment,gnn,graph neural network,gnn,model,unigram,NN,false,core_method,round2_corpus,3,27,gnn; graph neural network; graph neural networks,gnn; graph neural network; graph neural networks,https://en.wikipedia.org/wiki/Graph_neural_network,Q107750691,pos=fallback
experiments__gat,experiments,experiment,gat,graph attention network,gat,component,unigram,NN,false,core_method,both,3,15,gat; graph attention networks,gat; graph attention network; graph attention networks,nan,Q111725450,pos=fallback
experiments__ner,experiments,experiment,ner,named-entity recognition,ner,task,unigram,NN,false,task,initial_corpus,3,14,entity recognition; named entity recognition; ner,entity recognition; named entity recognition; named-entity recognition; ner,https://en.wikipedia.org/wiki/Named-entity_recognition,Q403574,pos=fallback
experiments__Word2Vec,experiments,experiment,Word2Vec,Word2Vec,Word2Vec,other,unigram,CD,false,other,initial_corpus,3,10,word2vec,word2vec,https://en.wikipedia.org/wiki/Word2vec,Q22673982,pos=fallback
experiments__auc,experiments,experiment,auc,receiver operating characteristic,auc,metric,unigram,NN,false,metric,round2_corpus,3,10,auc; roc; roc curve,auc; receiver operating characteristic; roc; roc curve,https://en.wikipedia.org/wiki/Receiver_operating_characteristic,Q327120,pos=fallback
experiments__vision-and-language,experiments,experiment,vision-and-language,Vision and Language,vision-and-language,other,bigram,NN NN,false,other,round2_corpus,3,8,vision and language; vision-and-language,vision and language; vision-and-language,nan,Q111467776,pos=fallback
experiments__activation function,experiments,experiment,activation function,activation function,activation function,component,bigram,NN NN,false,core_method,initial_corpus,3,6,activation function,activation function,https://en.wikipedia.org/wiki/Activation_function,Q4677469,pos=fallback
experiments__alexnet,experiments,experiment,alexnet,AlexNet,alexnet,model,unigram,NN,false,core_method,both,3,6,alexnet,alexnet,https://en.wikipedia.org/wiki/AlexNet,Q28325009,pos=fallback
experiments__seq2seq,experiments,experiment,seq2seq,sequence-to-sequence learning,seq2seq,other,unigram,CD,false,other,both,3,6,seq2seq,seq2seq; sequence-to-sequence learning,https://en.wikipedia.org/wiki/Seq2seq,Q41589189,pos=fallback
experiments__label smoothing,experiments,experiment,label smoothing,label smoothing,label smoothing,other,bigram,NN NN,false,other,initial_corpus,3,5,label smoothing,label smoothing,nan,Q130364031,pos=fallback
experiments__online learning,experiments,experiment,online learning,online machine learning,online learning,other,bigram,NN NN,false,other,both,3,5,online learning,online learning; online machine learning,https://en.wikipedia.org/wiki/Online_machine_learning,Q7094097,pos=fallback
experiments__shapes,experiments,experiment,shapes,"Shapes, Inc.",shapes,other,unigram,NN,false,other,initial_corpus,3,5,shapes,"shapes; shapes, inc.",nan,Q131682206,pos=fallback
experiments__multi-task learning,experiments,experiment,multi-task learning,multi-task learning,multi-task learning,other,bigram,NN NN,false,other,both,3,4,multi-task learning; multitask learning,multi-task learning; multitask learning,https://en.wikipedia.org/wiki/Multi-task_learning,Q6934509,pos=fallback
experiments__natural language understanding,experiments,experiment,natural language understanding,natural language understanding,natural language understanding,other,trigram,JJ NN NN,false,other,both,3,4,natural language understanding; nlu,natural language understanding; nlu,https://en.wikipedia.org/wiki/Natural_language_understanding,Q1078276,pos=fallback
experiments__linear regression,experiments,experiment,linear regression,linear regression,linear regression,other,bigram,NN NN,false,other,both,3,3,linear regression,linear regression,https://en.wikipedia.org/wiki/Linear_regression,Q10861030,pos=fallback
experiments__machine learning models,experiments,experiment,machine learning models,machine learning model,machine learning models,other,trigram,NN NN NN,false,other,both,3,3,machine learning models,machine learning model; machine learning models,nan,Q115215420,pos=fallback
experiments__search engine,experiments,experiment,search engine,search engine,search engine,other,bigram,NN NN,false,other,both,3,3,search engine,search engine,https://en.wikipedia.org/wiki/Search_engine_%28computing%29,Q19541,pos=fallback
experiments__tpu,experiments,experiment,tpu,AI accelerator,tpu,other,unigram,NN,false,other,both,3,3,tpu,ai accelerator; tpu,https://en.wikipedia.org/wiki/Neural_processing_unit,Q24895600,pos=fallback
experiments__wavenet,experiments,experiment,wavenet,Google Wavenet,wavenet,other,unigram,NN,false,other,round2_corpus,2,18,wavenet,google wavenet; wavenet,https://en.wikipedia.org/wiki/WaveNet,Q30315025,pos=fallback
experiments__ohem,experiments,experiment,ohem,Online Hard Example Mining,ohem,other,unigram,NN,false,other,initial_corpus,2,15,ohem,ohem; online hard example mining,nan,Q133567640,pos=fallback
experiments__YOLO,experiments,experiment,YOLO,You Only Look Once,YOLO,model,unigram,NN,false,core_method,initial_corpus,2,13,yolo,yolo; you only look once,https://en.wikipedia.org/wiki/You_Only_Look_Once,Q97732222,pos=fallback
experiments__xgboost,experiments,experiment,xgboost,XGBoost,xgboost,other,unigram,NN,false,other,round2_corpus,2,11,xgboost,xgboost,https://en.wikipedia.org/wiki/XGBoost,Q23793561,pos=fallback
experiments__bart,experiments,experiment,bart,BART,bart,model,unigram,NN,false,core_method,initial_corpus,2,9,bart,bart,nan,Q108212505,pos=fallback
experiments__chatgpt,experiments,experiment,chatgpt,ChatGPT,chatgpt,other,unigram,NN,false,other,initial_corpus,2,9,chatgpt,chatgpt,https://en.wikipedia.org/wiki/ChatGPT,Q115564437,pos=fallback
experiments__open assistant,experiments,experiment,open assistant,Open Assistant,open assistant,other,bigram,NN NN,false,other,initial_corpus,2,6,open assistant; openassistant,open assistant; openassistant,https://en.wikipedia.org/wiki/OpenAssistant,Q118176939,pos=fallback
experiments__gpt-j,experiments,experiment,gpt-j,GPT-J,gpt-j,other,unigram,NN,false,other,both,2,5,gpt-j; gpt-j 6b,gpt-j; gpt-j 6b,https://en.wikipedia.org/wiki/GPT-J,Q116937684,pos=fallback
experiments__smt,experiments,experiment,smt,statistical machine translation,smt,task,unigram,NN,false,task,initial_corpus,2,5,smt,smt; statistical machine translation,https://en.wikipedia.org/wiki/Statistical_machine_translation,Q3245113,pos=fallback
experiments__visual question answering,experiments,experiment,visual question answering,visual question answering,visual question answering,task,trigram,JJ NN NN,false,task,round2_corpus,2,4,visual question answering; visual question-answering,visual question answering; visual question-answering,nan,Q124169176,pos=fallback
experiments__inspection,experiments,experiment,inspection,browsing,inspection,other,unigram,NN,false,other,both,2,3,inspection,browsing; inspection,https://en.wikipedia.org/wiki/Browsing,Q516508,pos=fallback
experiments__tokenization,experiments,experiment,tokenization,tokenization,tokenization,component,unigram,NN,false,core_method,initial_corpus,2,3,tokenization,tokenization,https://en.wikipedia.org/wiki/Tokenization_%28lexical_analysis%29,Q2438971,pos=fallback
experiments__deberta,experiments,experiment,deberta,DeBERTa,deberta,other,unigram,NN,false,other,initial_corpus,2,2,deberta,deberta,nan,Q107031978,pos=fallback
experiments__pathways,experiments,experiment,pathways,Pathways,pathways,other,unigram,NN,false,other,round2_corpus,2,2,pathways,pathways,nan,Q111460849,pos=fallback
experiments__prompt engineering,experiments,experiment,prompt engineering,prompt engineering,prompt engineering,other,bigram,NN NN,false,other,both,2,2,prompt engineering,prompt engineering,https://en.wikipedia.org/wiki/Prompt_engineering,Q108941486,pos=fallback
experiments__self-supervised learning,experiments,experiment,self-supervised learning,self-supervised learning,self-supervised learning,method,bigram,JJ NN,false,core_method,both,2,2,self-supervised learning,self-supervised learning,https://en.wikipedia.org/wiki/Self-supervised_learning,Q77562367,pos=fallback
experiments__tokenizer,experiments,experiment,tokenizer,tokenizer,tokenizer,component,unigram,NN,false,core_method,both,2,2,tokenizer,tokenizer,nan,Q137216276,pos=fallback
abstract__reinforcement learning,abstract,intro,reinforcement learning,reinforcement learning,reinforcement learning,method,bigram,NN NN,false,core_method,both,24,33,reinforcement learning,reinforcement learning,https://en.wikipedia.org/wiki/Reinforcement_learning,Q830687,pos=fallback
abstract__question answering,abstract,intro,question answering,question answering,question answering,task,bigram,NN NN,false,task,both,21,26,question answering; question-answering,question answering; question-answering,https://en.wikipedia.org/wiki/Question_answering,Q1074173,pos=fallback
abstract__training data,abstract,intro,training data,training set,training data,dataset,bigram,NN NN,false,dataset,both,18,20,training data; training set,training data; training set,https://en.wikipedia.org/wiki/Training_set,Q3997298,pos=fallback
abstract__transformer,abstract,intro,transformer,transformer,transformer,model,unigram,NN,false,core_method,both,16,38,transformer; transformer architecture; transformer model; transformer models; transformers,transformer; transformer architecture; transformer model; transformer models; transformers,https://en.wikipedia.org/wiki/Transformer_%28deep_learning%29,Q85810444,pos=fallback
abstract__natural language processing,abstract,intro,natural language processing,Natural language processing,natural language processing,other,trigram,JJ NN NN,false,background,both,16,23,natural language processing; nlp,natural language processing; nlp,https://en.wikipedia.org/wiki/Natural_language_processing,Q30642,pos=fallback
abstract__end-to-end,abstract,intro,end-to-end,end-to-end reinforcement learning,end-to-end,other,bigram,NN NN,false,background,both,16,19,deep rl; end-to-end; end-to-end learning,deep rl; end-to-end; end-to-end learning; end-to-end reinforcement learning,https://en.wikipedia.org/wiki/End-to-end_reinforcement_learning,Q30589144,pos=fallback
abstract__deep neural networks,abstract,intro,deep neural networks,deep neural network,deep neural networks,model,trigram,JJ JJ NN,false,core_method,both,15,17,deep network; deep networks; deep neural network; deep neural networks,deep network; deep networks; deep neural network; deep neural networks,https://en.wikipedia.org/wiki/Deep_neural_network,Q51289900,pos=fallback
abstract__BERT,abstract,intro,BERT,bidirectional encoder representations from transformers,BERT,model,unigram,NN,false,core_method,both,13,30,bert,bert; bidirectional encoder representations from transformers,https://en.wikipedia.org/wiki/BERT_%28language_model%29,Q61726893,pos=fallback
abstract__convolutional neural networks,abstract,intro,convolutional neural networks,Convolutional neural network,convolutional neural networks,model,trigram,JJ JJ NN,false,core_method,both,13,20,cnn,cellular neural network; cnn; convolutional neural network; convolutional neural networks,https://en.wikipedia.org/wiki/Cellular_neural_network,Q5058375,pos=fallback
abstract__object detection,abstract,intro,object detection,object detection,object detection,task,bigram,NN NN,false,task,initial_corpus,13,18,object detection,object detection,https://en.wikipedia.org/wiki/Object_detection,Q3045304,pos=fallback
abstract__learning algorithm,abstract,intro,learning algorithm,machine learning algorithm,learning algorithm,method,bigram,NN NN,false,core_method,both,12,14,learning algorithm; learning algorithms; machine learning algorithm,learning algorithm; learning algorithms; machine learning algorithm,https://en.wikipedia.org/wiki/Machine_learning_algorithm,Q110688486,pos=fallback
abstract__attention,abstract,intro,attention,attention,attention,component,unigram,NN,false,core_method,both,10,24,attention; attention mechanism,attention; attention mechanism,https://en.wikipedia.org/wiki/Attention_%28machine_learning%29,Q103701642,pos=fallback
abstract__embeddings,abstract,intro,embeddings,embedding,embeddings,component,unigram,NN,false,core_method,both,10,20,embedding; embeddings,embedding; embeddings,https://en.wikipedia.org/wiki/Embedding_%28machine_learning%29,Q133284072,pos=fallback
abstract__segmentation,abstract,intro,segmentation,speech segmentation,segmentation,task,unigram,NN,false,task,both,10,16,segmentation,segmentation; speech segmentation,https://en.wikipedia.org/wiki/Speech_segmentation,Q2266173,pos=fallback
abstract__deep learning,abstract,intro,deep learning,deep learning,deep learning,method,bigram,JJ NN,false,core_method,both,10,11,deep learning,deep learning,https://en.wikipedia.org/wiki/Deep_learning,Q197536,pos=fallback
abstract__diffusion models,abstract,intro,diffusion models,diffusion model,diffusion models,method,bigram,NN NN,false,core_method,round2_corpus,9,18,diffusion model; diffusion models; diffusion probabilistic models; score-based generative model; text-to-image diffusion model,diffusion model; diffusion models; diffusion probabilistic models; score-based generative model; text-to-image diffusion model,https://en.wikipedia.org/wiki/Diffusion_model,Q114617315,pos=fallback
abstract__machine learning,abstract,intro,machine learning,machine learning,machine learning,other,bigram,NN NN,false,background,both,9,11,machine learning,machine learning,https://en.wikipedia.org/wiki/Machine_learning,Q2539,pos=fallback
abstract__representation learning,abstract,intro,representation learning,feature learning,representation learning,method,bigram,NN NN,false,core_method,both,8,12,feature learning; representation learning,feature learning; representation learning,https://en.wikipedia.org/wiki/Feature_learning,Q17013334,pos=fallback
abstract__gradient descent,abstract,intro,gradient descent,gradient descent,gradient descent,method,bigram,JJ NN,false,core_method,both,8,10,gradient descent,gradient descent,https://en.wikipedia.org/wiki/Gradient_descent,Q1199743,pos=fallback
abstract__machine translation,abstract,intro,machine translation,machine translation,machine translation,task,bigram,NN NN,false,task,both,7,13,machine translation,machine translation,https://en.wikipedia.org/wiki/Machine_translation,Q79798,pos=fallback
abstract__bias,abstract,intro,bias,prediction bias,bias,component,unigram,NN,false,core_method,both,7,8,bias,bias; prediction bias,nan,Q139934379,pos=fallback
abstract__GPT-3,abstract,intro,GPT-3,GPT-3,GPT-3,model,unigram,CD,false,core_method,both,6,16,gpt-3,gpt-3,https://en.wikipedia.org/wiki/GPT-3,Q95726734,pos=fallback
abstract__large language models,abstract,intro,large language models,Large language model,large language models,model,trigram,JJ NN NN,false,core_method,both,6,15,large language models; llms,large language model; large language models; llms,https://en.wikipedia.org/wiki/Large_language_model,Q115305900,pos=fallback
abstract__graph neural networks,abstract,intro,graph neural networks,graph neural network,graph neural networks,model,trigram,NN JJ NN,false,core_method,both,6,12,gnn; graph neural network; graph neural networks,gnn; graph neural network; graph neural networks,https://en.wikipedia.org/wiki/Graph_neural_network,Q107750691,pos=fallback
abstract__transfer learning,abstract,intro,transfer learning,transfer learning,transfer learning,method,bigram,NN NN,false,core_method,both,6,11,inductive transfer; transfer learning,inductive transfer; transfer learning,https://en.wikipedia.org/wiki/Transfer_learning,Q6027324,pos=fallback
abstract__deep reinforcement learning,abstract,intro,deep reinforcement learning,deep reinforcement learning,deep reinforcement learning,other,trigram,JJ NN NN,false,background,both,6,7,deep reinforcement learning,deep reinforcement learning,https://en.wikipedia.org/wiki/Deep_reinforcement_learning,Q65079156,pos=fallback
abstract__policy gradient,abstract,intro,policy gradient,policy-gradient method,policy gradient,method,bigram,NN JJ,false,core_method,both,5,13,policy gradient; policy gradient methods,policy gradient; policy gradient methods; policy-gradient method,https://en.wikipedia.org/wiki/Policy_gradient_method,Q113840014,pos=fallback
abstract__bleu,abstract,intro,bleu,BLEU,bleu,metric,unigram,NN,false,metric,both,5,10,bleu,bleu,https://en.wikipedia.org/wiki/BLEU,Q3500773,pos=fallback
abstract__few-shot learning,abstract,intro,few-shot learning,few-shot learning,few-shot learning,other,bigram,NN NN,false,background,both,5,8,few-shot learning,few-shot learning,nan,Q110797734,pos=fallback
abstract__summarization,abstract,intro,summarization,automatic summarization,summarization,task,unigram,NN,false,task,initial_corpus,5,8,summarization; text summarization,automatic summarization; summarization; text summarization,https://en.wikipedia.org/wiki/Automatic_summarization,Q1394144,pos=fallback
abstract__natural language inference,abstract,intro,natural language inference,textual entailment,natural language inference,task,trigram,JJ NN NN,false,task,both,5,6,natural language inference; textual entailment,natural language inference; textual entailment,https://en.wikipedia.org/wiki/Textual_entailment,Q6588467,pos=fallback
abstract__supervised learning,abstract,intro,supervised learning,supervised learning,supervised learning,method,bigram,JJ NN,false,core_method,both,5,6,supervised learning,supervised learning,https://en.wikipedia.org/wiki/Supervised_learning,Q334384,pos=fallback
abstract__vision-and-language,abstract,intro,vision-and-language,Vision and Language,vision-and-language,other,bigram,NN NN,false,background,both,4,9,vision and language; vision-and-language,vision and language; vision-and-language,nan,Q111467776,pos=fallback
abstract__dqn,abstract,intro,dqn,Deep Q-Network,dqn,model,unigram,NN,false,core_method,both,4,8,dqn,deep q-network; dqn,nan,Q20722857,pos=fallback
abstract__open-domain question answering,abstract,intro,open-domain question answering,open-domain question answering,open-domain question answering,task,trigram,NN NN NN,false,task,both,4,6,open domain qa; open-domain qa; open-domain question answering,open domain qa; open-domain qa; open-domain question answering,nan,Q121409954,pos=fallback
abstract__visual question answering,abstract,intro,visual question answering,visual question answering,visual question answering,task,trigram,JJ NN NN,false,task,both,4,5,visual question answering; visual question-answering,visual question answering; visual question-answering,nan,Q124169176,pos=fallback
abstract__YOLO,abstract,intro,YOLO,You Only Look Once,YOLO,model,unigram,NN,false,core_method,initial_corpus,3,8,yolo,yolo; you only look once,https://en.wikipedia.org/wiki/You_Only_Look_Once,Q97732222,pos=fallback
abstract__natural language understanding,abstract,intro,natural language understanding,natural language understanding,natural language understanding,other,trigram,JJ NN NN,false,background,both,3,8,natural language understanding; nlu,natural language understanding; nlu,https://en.wikipedia.org/wiki/Natural_language_understanding,Q1078276,pos=fallback
abstract__neural machine translation,abstract,intro,neural machine translation,neural machine translation,neural machine translation,task,trigram,JJ NN NN,false,task,initial_corpus,3,7,neural machine translation; nmt,neural machine translation; nmt,https://en.wikipedia.org/wiki/Neural_machine_translation,Q25053937,pos=fallback
abstract__stochastic gradient descent,abstract,intro,stochastic gradient descent,stochastic gradient descent,stochastic gradient descent,method,trigram,JJ JJ NN,false,core_method,both,3,6,sgd; stochastic gradient descent,sgd; stochastic gradient descent,https://en.wikipedia.org/wiki/Stochastic_gradient_descent,Q7617819,pos=fallback
abstract__unsupervised learning,abstract,intro,unsupervised learning,unsupervised learning,unsupervised learning,method,bigram,JJ NN,false,core_method,both,3,6,unsupervised learning,unsupervised learning,https://en.wikipedia.org/wiki/Unsupervised_learning,Q1152135,pos=fallback
abstract__roberta,abstract,intro,roberta,RoBERTa,roberta,model,unigram,NN,false,core_method,initial_corpus,3,5,roberta,roberta,nan,Q85124095,pos=fallback
abstract__recurrent neural networks,abstract,intro,recurrent neural networks,Recurrent neural network,recurrent neural networks,model,trigram,JJ JJ NN,false,core_method,initial_corpus,3,4,recurrent neural networks,recurrent neural network; recurrent neural networks,https://en.wikipedia.org/wiki/Recurrent_neural_network,Q1457734,pos=fallback
abstract__speech recognition,abstract,intro,speech recognition,speech recognition,speech recognition,task,bigram,NN NN,false,task,round2_corpus,3,4,speech recognition,speech recognition,https://en.wikipedia.org/wiki/Speech_recognition,Q189436,pos=fallback
abstract__GPT,abstract,intro,GPT,generative pre-trained transformer,GPT,model,unigram,NN,false,core_method,both,3,3,gpt,generative pre-trained transformer; gpt,https://en.wikipedia.org/wiki/Generative_pre-trained_transformer,Q116777014,pos=fallback
abstract__ResNet,abstract,intro,ResNet,residual neural network,ResNet,model,unigram,NN,false,core_method,initial_corpus,3,3,resnet,residual neural network; resnet,https://en.wikipedia.org/wiki/Residual_neural_network,Q43744058,pos=fallback
abstract__autoregressive model,abstract,intro,autoregressive model,autoregressive model,autoregressive model,other,bigram,JJ NN,false,background,both,3,3,autoregressive model; autoregressive models,autoregressive model; autoregressive models,https://en.wikipedia.org/wiki/Autoregressive_model,Q2202883,pos=fallback
abstract__image recognition,abstract,intro,image recognition,image recognition,image recognition,other,bigram,NN NN,false,background,initial_corpus,3,3,image recognition,image recognition,https://en.wikipedia.org/wiki/Image_recognition,Q28038508,pos=fallback
abstract__model weights,abstract,intro,model weights,Model weights,model weights,other,bigram,NN NN,false,background,both,3,3,model weights,model weights,nan,Q138819465,pos=fallback
abstract__self-attention,abstract,intro,self-attention,self-attention,self-attention,component,unigram,NN,false,core_method,both,3,3,self-attention,self-attention,nan,Q113364820,pos=fallback
abstract__semi-supervised learning,abstract,intro,semi-supervised learning,semi-supervised learning,semi-supervised learning,method,bigram,JJ NN,false,core_method,initial_corpus,3,3,semi-supervised learning,semi-supervised learning,https://en.wikipedia.org/wiki/Semi-supervised_learning,Q1041418,pos=fallback
abstract__sentiment analysis,abstract,intro,sentiment analysis,sentiment analysis,sentiment analysis,task,bigram,NN NN,false,task,initial_corpus,3,3,sentiment analysis,sentiment analysis,https://en.wikipedia.org/wiki/Sentiment_analysis,Q2271421,pos=fallback
abstract__text generation,abstract,intro,text generation,natural language generation,text generation,task,bigram,NN NN,false,task,both,3,3,text generation,natural language generation; text generation,https://en.wikipedia.org/wiki/Natural_language_generation,Q1513879,pos=fallback
abstract__visual recognition,abstract,intro,visual recognition,optical character recognition,visual recognition,other,bigram,JJ NN,false,background,initial_corpus,3,3,visual recognition,optical character recognition; visual recognition,https://en.wikipedia.org/wiki/Optical_character_recognition,Q167555,pos=fallback
abstract__GPT-4,abstract,intro,GPT-4,GPT-4,GPT-4,model,unigram,CD,false,core_method,initial_corpus,2,7,gpt-4,gpt-4,https://en.wikipedia.org/wiki/GPT-4,Q116709136,pos=fallback
abstract__PaLM,abstract,intro,PaLM,PaLM,PaLM,model,unigram,NN,false,core_method,initial_corpus,2,5,palm,palm,https://en.wikipedia.org/wiki/PaLM,Q117232125,pos=fallback
abstract__entity recognition,abstract,intro,entity recognition,named-entity recognition,entity recognition,task,bigram,NN NN,false,task,initial_corpus,2,5,entity recognition; named entity recognition; ner,entity recognition; named entity recognition; named-entity recognition; ner,https://en.wikipedia.org/wiki/Named-entity_recognition,Q403574,pos=fallback
abstract__wavenet,abstract,intro,wavenet,Google Wavenet,wavenet,other,unigram,NN,false,background,round2_corpus,2,4,wavenet,google wavenet; wavenet,https://en.wikipedia.org/wiki/WaveNet,Q30315025,pos=fallback
abstract__GPT-2,abstract,intro,GPT-2,GPT-2,GPT-2,model,unigram,CD,false,core_method,initial_corpus,2,3,gpt-2,gpt-2,https://en.wikipedia.org/wiki/GPT-2,Q95726727,pos=fallback
abstract__activation function,abstract,intro,activation function,activation function,activation function,component,bigram,NN NN,false,core_method,initial_corpus,2,3,activation function,activation function,https://en.wikipedia.org/wiki/Activation_function,Q4677469,pos=fallback
abstract__meta-learning,abstract,intro,meta-learning,meta-learning,meta-learning,other,unigram,NN,false,background,initial_corpus,2,3,meta-learning,meta-learning,https://en.wikipedia.org/wiki/Meta-learning_%28computer_science%29,Q6822311,pos=fallback
abstract__sentence embeddings,abstract,intro,sentence embeddings,Sentence Embedding,sentence embeddings,component,bigram,NN NN,false,core_method,both,2,3,sentence embeddings,sentence embedding; sentence embeddings,nan,Q140197859,pos=fallback
abstract__text-to-speech,abstract,intro,text-to-speech,speech synthesis,text-to-speech,other,bigram,NN NN,false,background,round2_corpus,2,3,text-to-speech,speech synthesis; text-to-speech,https://en.wikipedia.org/wiki/Speech_synthesis,Q16346,pos=fallback
abstract__tpu,abstract,intro,tpu,AI accelerator,tpu,other,unigram,NN,false,background,initial_corpus,2,3,tpu,ai accelerator; tpu,https://en.wikipedia.org/wiki/Neural_processing_unit,Q24895600,pos=fallback
abstract__xgboost,abstract,intro,xgboost,XGBoost,xgboost,other,unigram,NN,false,background,round2_corpus,2,3,xgboost,xgboost,https://en.wikipedia.org/wiki/XGBoost,Q23793561,pos=fallback
abstract__alexnet,abstract,intro,alexnet,AlexNet,alexnet,model,unigram,NN,false,core_method,both,2,2,alexnet,alexnet,https://en.wikipedia.org/wiki/AlexNet,Q28325009,pos=fallback
abstract__artificial intelligence,abstract,intro,artificial intelligence,artificial intelligence model,artificial intelligence,other,bigram,JJ NN,false,background,both,2,2,artificial intelligence,artificial intelligence; artificial intelligence model,nan,Q117349473,pos=fallback
abstract__graph convolutional networks,abstract,intro,graph convolutional networks,graph convolutional network,graph convolutional networks,other,trigram,NN JJ NN,false,background,round2_corpus,2,2,graph convolutional networks,graph convolutional network; graph convolutional networks,https://en.wikipedia.org/wiki/Graph_convolutional_network,Q54811238,pos=fallback
abstract__masked language modeling,abstract,intro,masked language modeling,masked language model,masked language modeling,model,trigram,JJ NN NN,false,core_method,both,2,2,masked language modeling,masked language model; masked language modeling,nan,Q24868018,pos=fallback
abstract__optimization methods,abstract,intro,optimization methods,optimization method,optimization methods,method,bigram,NN NN,false,core_method,initial_corpus,2,2,optimization methods,optimization method; optimization methods,nan,Q112631979,pos=fallback
